"code","stage1","stage2","stage3","x","y","lonD","lonM","lonS","latD","latM","latS"
"1121576000","서울특별시","광진구","중곡제3동","62","127","127","4","56.11","37","33","57.3"
"1121577000","서울특별시","광진구","중곡제4동","62","127","127","5","21.67","37","33","45.04"
"1121578000","서울특별시","광진구","능동","62","126","127","4","57.52","37","33","3.7"
"1121581000","서울특별시","광진구","광장동","62","126","127","6","19.11","37","32","39.17"
"1121582000","서울특별시","광진구","자양제1동","62","126","127","5","3.91","37","31","54.07"
"1121583000","서울특별시","광진구","자양제2동","62","126","127","5","11.76","37","31","33.6"
"1121584000","서울특별시","광진구","자양제3동","61","126","127","4","30.11","37","31","51.72"
"1121584700","서울특별시","광진구","자양제4동","61","126","127","4","2.11","37","32","14.95"
"1121585000","서울특별시","광진구","구의제1동","62","126","127","5","16.32","37","32","22.83"
"1121586000","서울특별시","광진구","구의제2동","62","126","127","5","31.59","37","32","39.98"
"1121587000","서울특별시","광진구","구의제3동","62","126","127","5","58.88","37","32","10.1"
"1123000000","서울특별시","동대문구","","61","127","127","2","31.71","37","34","17.85"
"1123053600","서울특별시","동대문구","용신동","61","127","0","0","0.0","0","0","0.0"
"1123054500","서울특별시","동대문구","제기동","61","127","0","0","0.0","0","0","0.0"
"1123056000","서울특별시","동대문구","전농제1동","61","127","127","2","59.52","37","34","30.76"
"1123057000","서울특별시","동대문구","전농제2동","61","127","127","3","13.91","37","34","54.13"
"1123060000","서울특별시","동대문구","답십리제1동","61","127","127","3","15.2","37","34","9.39"
"1123061000","서울특별시","동대문구","답십리제2동","61","127","127","3","41.67","37","34","8.95"
"1123065000","서울특별시","동대문구","장안제1동","61","127","127","4","6.52","37","33","53.95"
"1123066000","서울특별시","동대문구","장안제2동","61","127","127","4","31.11","37","34","6.27"
"1123070500","서울특별시","동대문구","청량리동","61","127","0","0","0.0","0","0","0.0"
"1123071000","서울특별시","동대문구","회기동","61","127","127","3","26.96","37","35","16.83"
"1123072000","서울특별시","동대문구","휘경제1동","61","127","127","4","4.15","37","35","24.57"
"1123073000","서울특별시","동대문구","휘경제2동","61","127","127","4","10.76","37","35","18.58"
"1123074000","서울특별시","동대문구","이문제1동","61","127","127","4","3.47","37","35","42.0"
"1123075000","서울특별시","동대문구","이문제2동","61","127","127","3","31.03","37","35","30.23"
"1126000000","서울특별시","중랑구","","62","128","127","5","41.2","37","36","13.7"
"1126052000","서울특별시","중랑구","면목제2동","62","127","127","4","52.08","37","35","13.14"
"1126054000","서울특별시","중랑구","면목제4동","62","127","127","5","15.44","37","34","18.54"
"1126055000","서울특별시","중랑구","면목제5동","62","127","127","4","54.2","37","34","58.97"
"1126056500","서울특별시","중랑구","면목본동","62","127","127","5","22.84","37","35","4.42"
"1126057000","서울특별시","중랑구","면목제7동","62","127","127","5","20.71","37","34","34.32"
"1126057500","서울특별시","중랑구","면목제3.8동","62","127","127","5","24.79","37","34","48.85"
"1126058000","서울특별시","중랑구","상봉제1동","62","127","127","5","21.44","37","35","49.3"
"1126059000","서울특별시","중랑구","상봉제2동","62","127","127","5","7.4","37","35","22.6"
"1126060000","서울특별시","중랑구","중화제1동","62","127","127","4","58.0","37","35","54.19"
"1126061000","서울특별시","중랑구","중화제2동","62","127","127","4","37.28","37","35","31.98"
"1126062000","서울특별시","중랑구","묵제1동","62","128","127","4","50.11","37","36","34.64"
"1126063000","서울특별시","중랑구","묵제2동","62","128","127","4","41.32","37","36","24.47"
"1126065500","서울특별시","중랑구","망우본동","62","127","127","6","30.47","37","35","55.29"
"1126066000","서울특별시","중랑구","망우제3동","62","127","127","6","0.96","37","35","22.48"
"1126068000","서울특별시","중랑구","신내1동","62","128","127","6","5.59","37","36","11.1"
"1126069000","서울특별시","중랑구","신내2동","62","128","127","5","46.59","37","36","12.35"
"1129000000","서울특별시","성북구","","61","127","127","1","13.2","37","35","10.98"
"1129052500","서울특별시","성북구","성북동","60","127","127","0","21.91","37","35","14.79"
"1129055500","서울특별시","성북구","삼선동","60","127","127","0","34.4","37","34","58.25"
"1129057500","서울특별시","성북구","동선동","61","127","127","1","21.03","37","35","28.6"
"1129058000","서울특별시","성북구","돈암제1동","61","127","127","1","41.84","37","36","1.83"
"1129059000","서울특별시","성북구","돈암제2동","60","127","127","0","45.76","37","35","42.92"
"1129060000","서울특별시","성북구","안암동","61","127","127","1","24.52","37","34","59.01"
"1129061000","서울특별시","성북구","보문동","61","127","127","1","29.64","37","34","39.32"
"1129062000","서울특별시","성북구","정릉제1동","60","127","127","1","7.47","37","35","55.11"
"1129063000","서울특별시","성북구","정릉제2동","60","127","127","0","47.67","37","36","6.0"
"1129064000","서울특별시","성북구","정릉제3동","60","128","127","0","22.64","37","36","22.2"
"1129065000","서울특별시","성북구","정릉제4동","60","128","127","0","29.55","37","36","38.83"
"1129066000","서울특별시","성북구","길음제1동","61","127","127","1","27.0","37","36","6.42"
"1129068500","서울특별시","성북구","길음제2동","61","128","127","1","45.84","37","36","13.86"
"1129070500","서울특별시","성북구","종암동","61","127","127","2","0.79","37","35","50.39"
"1129071500","서울특별시","성북구","월곡제1동","61","128","127","2","10.11","37","36","15.13"
"1129072500","서울특별시","성북구","월곡제2동","61","127","127","2","30.08","37","35","59.79"
"1129076000","서울특별시","성북구","장위제1동","61","128","127","2","45.08","37","36","40.29"
"1129077000","서울특별시","성북구","장위제2동","61","128","127","3","24.15","37","36","34.79"
"1129078000","서울특별시","성북구","장위제3동","61","128","127","3","31.4","37","36","49.58"
"1129081000","서울특별시","성북구","석관동","61","128","127","3","48.67","37","36","36.58"
"1130500000","서울특별시","강북구","","61","128","127","1","39.79","37","38","13.04"
"1130553400","서울특별시","강북구","삼양동","61","128","127","1","13.84","37","37","28.14"
"1130553500","서울특별시","강북구","미아동","61","128","127","1","44.47","37","37","26.89"
"1130554500","서울특별시","강북구","송중동","61","128","127","2","9.0","37","36","48.1"
"1130555500","서울특별시","강북구","송천동","61","128","127","1","33.44","37","36","55.86"
"1130557500","서울특별시","강북구","삼각산동","61","128","127","1","11.47","37","36","51.95"
"1130559500","서울특별시","강북구","번1동","61","128","127","1","51.67","37","38","6.57"
"1130560300","서울특별시","강북구","번2동","61","128","127","2","27.4","37","37","45.79"
"1130560800","서울특별시","강북구","번3동","61","128","127","2","55.28","37","37","23.14"
"1130561500","서울특별시","강북구","수유1동","60","128","127","1","9.47","37","37","50.64"
"1130562500","서울특별시","강북구","수유2동","61","128","127","1","19.35","37","38","30.77"
"1130563500","서울특별시","강북구","수유3동","61","128","127","1","31.15","37","38","9.5"
"1130564500","서울특별시","강북구","우이동","60","128","127","0","50.64","37","38","42.7"
"1130566000","서울특별시","강북구","인수동","60","128","127","0","45.96","37","38","19.44"
"1132000000","서울특별시","도봉구","","61","129","127","2","58.28","37","39","57.0"
"1132051100","서울특별시","도봉구","창제1동","61","128","127","2","45.59","37","38","44.33"
"1132051200","서울특별시","도봉구","창제2동","61","128","127","2","15.96","37","38","19.42"
"1132051300","서울특별시","도봉구","창제3동","61","128","127","2","42.03","37","38","6.97"
"1132051400","서울특별시","도봉구","창제4동","61","129","127","3","13.2","37","38","57.83"
"1132051500","서울특별시","도봉구","창제5동","61","129","127","2","28.67","37","38","57.17"
"1132052100","서울특별시","도봉구","도봉제1동","61","129","127","2","43.84","37","40","32.95"
"1132052200","서울특별시","도봉구","도봉제2동","61","129","127","2","55.35","37","40","1.2"
"1132066000","서울특별시","도봉구","쌍문제1동","61","128","127","1","41.44","37","38","42.89"
"1132067000","서울특별시","도봉구","쌍문제2동","61","129","127","2","27.28","37","39","18.29"
"1132068000","서울특별시","도봉구","쌍문제3동","61","128","127","1","48.32","37","38","46.3"
"1132068100","서울특별시","도봉구","쌍문제4동","61","129","127","1","49.96","37","39","13.05"
"1132069000","서울특별시","도봉구","방학제1동","61","129","127","2","33.96","37","39","41.16"
"1132070000","서울특별시","도봉구","방학제2동","61","129","127","2","14.0","37","39","55.57"
"1132071000","서울특별시","도봉구","방학제3동","61","129","127","1","48.28","37","39","22.42"
"1135000000","서울특별시","노원구","","61","129","127","3","30.2","37","39","5.26"
"1135056000","서울특별시","노원구","월계1동","61","128","127","3","54.32","37","37","2.35"
"1135057000","서울특별시","노원구","월계2동","61","128","127","3","10.79","37","37","47.14"
"1135058000","서울특별시","노원구","월계3동","61","128","127","4","16.79","37","37","5.54"
"1135059500","서울특별시","노원구","공릉1동","61","128","127","4","25.51","37","37","29.02"
"1135060000","서울특별시","노원구","공릉2동","62","128","127","5","7.59","37","37","6.85"
"1135061100","서울특별시","노원구","하계1동","61","128","127","4","29.03","37","38","16.02"
"1135061200","서울특별시","노원구","하계2동","61","128","127","4","12.4","37","37","45.3"
"1135061900","서울특별시","노원구","중계본동","62","128","127","4","56.84","37","38","42.26"
"1135062100","서울특별시","노원구","중계1동","62","129","127","4","46.79","37","38","59.23"
"1135062400","서울특별시","노원구","중계4동","62","129","127","4","48.32","37","39","21.48"
"1135062500","서울특별시","노원구","중계2.3동","61","128","0","0","0.0","0","0","0.0"
"1135063000","서울특별시","노원구","상계1동","61","129","127","3","25.96","37","40","37.57"
"1135064000","서울특별시","노원구","상계2동","61","129","127","4","14.55","37","39","21.51"
"1135066500","서울특별시","노원구","상계3.4동","61","129","127","4","38.88","37","39","39.6"
"1135067000","서울특별시","노원구","상계5동","61","129","127","4","17.35","37","39","36.79"
"1135069500","서울특별시","노원구","상계6.7동","61","129","127","4","8.64","37","39","7.52"
"1135070000","서울특별시","노원구","상계8동","61","129","127","3","13.2","37","39","50.2"
"1135071000","서울특별시","노원구","상계9동","61","129","127","3","57.44","37","39","42.16"
"1135072000","서울특별시","노원구","상계10동","61","129","127","3","44.52","37","39","30.36"
"1138000000","서울특별시","은평구","","59","127","126","55","52.47","37","35","59.89"
"1138051000","서울특별시","은평구","녹번동","59","127","126","56","12.64","37","35","59.86"
"1138052000","서울특별시","은평구","불광제1동","59","128","126","56","3.08","37","36","27.13"
"1138053000","서울특별시","은평구","불광제2동","59","128","126","55","47.35","37","37","7.66"
"1138055100","서울특별시","은평구","갈현제1동","59","128","126","55","7.64","37","37","15.23"
"1138055200","서울특별시","은평구","갈현제2동","59","128","126","55","4.4","37","36","56.76"
"1138056000","서울특별시","은평구","구산동","59","128","126","54","45.0","37","36","32.47"
"1138057000","서울특별시","은평구","대조동","59","128","126","55","22.4","37","36","40.82"
"1138058000","서울특별시","은평구","응암제1동","59","127","126","55","43.91","37","35","52.48"
"1138059000","서울특별시","은평구","응암제2동","59","127","126","55","30.47","37","35","30.54"
"1138060000","서울특별시","은평구","응암제3동","59","127","126","55","4.23","37","35","21.79"
"1138062500","서울특별시","은평구","역촌동","59","127","126","55","2.2","37","36","5.83"
"1138063100","서울특별시","은평구","신사제1동","59","127","126","54","51.79","37","35","42.79"
"1138063200","서울특별시","은평구","신사제2동","59","127","126","54","53.4","37","35","21.6"
"1138064000","서울특별시","은평구","증산동","59","127","126","54","33.2","37","34","53.51"
"1138065000","서울특별시","은평구","수색동","58","127","126","53","58.71","37","34","52.89"
"1138069000","서울특별시","은평구","진관동","59","128","126","55","16.0","37","38","8.16"
"1141000000","서울특별시","서대문구","","59","127","126","56","20.03","37","34","34.92"
"1141052000","서울특별시","서대문구","천연동","60","127","126","57","40.23","37","34","5.89"
"1141055500","서울특별시","서대문구","북아현동","59","126","126","57","32.08","37","33","24.73"
"1141056500","서울특별시","서대문구","충현동","59","127","126","57","24.64","37","33","43.42"
"1141058500","서울특별시","서대문구","신촌동","59","126","126","56","44.11","37","33","24.26"
"1141061500","서울특별시","서대문구","연희동","59","127","126","56","14.47","37","34","16.04"
"1141062000","서울특별시","서대문구","홍제제1동","59","127","126","56","49.15","37","35","5.64"
"1141064000","서울특별시","서대문구","홍제제3동","59","127","126","57","4.2","37","35","32.8"
"1141065500","서울특별시","서대문구","홍제제2동","59","127","126","57","5.28","37","35","0.02"
"1141066000","서울특별시","서대문구","홍은제1동","59","127","126","56","45.44","37","35","25.55"
"1141068500","서울특별시","서대문구","홍은제2동","59","127","126","56","18.55","37","34","48.57"
"1141069000","서울특별시","서대문구","남가좌제1동","59","127","126","54","56.08","37","34","16.3"
"1141070000","서울특별시","서대문구","남가좌제2동","59","127","126","55","33.28","37","34","32.26"
"1141071000","서울특별시","서대문구","북가좌제1동","59","127","126","54","32.32","37","34","36.16"
"1141072000","서울특별시","서대문구","북가좌제2동","59","127","126","54","47.59","37","34","42.97"
"1144000000","서울특별시","마포구","","59","127","126","54","37.91","37","33","38.54"
"1144055500","서울특별시","마포구","아현동","59","126","126","57","15.2","37","32","39.64"
"1144056500","서울특별시","마포구","공덕동","60","126","126","57","43.52","37","32","50.79"
"1144058500","서울특별시","마포구","도화동","59","126","126","57","7.67","37","32","5.64"
"1144059000","서울특별시","마포구","용강동","59","126","126","56","37.44","37","32","21.29"
"1144060000","서울특별시","마포구","대흥동","59","126","126","56","41.32","37","33","10.98"
"1144061000","서울특별시","마포구","염리동","59","126","126","56","51.79","37","32","39.79"
"1144063000","서울특별시","마포구","신수동","59","126","126","56","11.91","37","32","38.64"
"1144065500","서울특별시","마포구","서강동","59","126","126","56","2.96","37","32","40.01"
"1144066000","서울특별시","마포구","서교동","59","126","126","55","22.71","37","32","58.76"
"1144068000","서울특별시","마포구","합정동","59","126","126","54","27.91","37","32","48.2"
"1144069000","서울특별시","마포구","망원제1동","59","126","126","54","27.96","37","33","8.76"
"1144070000","서울특별시","마포구","망원제2동","59","126","126","54","15.52","37","33","27.23"
"1144071000","서울특별시","마포구","연남동","59","127","126","55","26.64","37","33","42.1"
"1144072000","서울특별시","마포구","성산제1동","59","127","126","54","36.08","37","33","38.1"
"1144073000","서울특별시","마포구","성산제2동","59","127","126","54","40.15","37","33","57.35"
"1144074000","서울특별시","마포구","상암동","58","127","126","53","48.52","37","34","31.85"
"1147000000","서울특별시","양천구","","58","126","126","52","7.35","37","30","51.23"
"1147051000","서울특별시","양천구","목1동","58","126","126","52","23.64","37","31","39.14"
"1147052000","서울특별시","양천구","목2동","58","126","126","52","25.71","37","32","36.07"
"1147053000","서울특별시","양천구","목3동","58","126","126","51","59.76","37","32","31.55"
"1147054000","서울특별시","양천구","목4동","58","126","126","52","13.79","37","31","46.32"
"1147055000","서울특별시","양천구","목5동","58","126","126","52","50.71","37","31","56.7"
"1147056000","서울특별시","양천구","신월1동","57","126","126","50","0.96","37","31","48.02"
"1147057000","서울특별시","양천구","신월2동","58","126","126","50","47.71","37","31","19.82"
"1147058000","서울특별시","양천구","신월3동","57","126","126","49","52.23","37","31","51.05"
"1147059000","서울특별시","양천구","신월4동","57","126","126","50","31.76","37","31","18.86"
"1147060000","서울특별시","양천구","신월5동","57","126","126","49","46.0","37","32","12.8"
"1147061000","서울특별시","양천구","신월6동","58","126","126","50","44.76","37","30","47.89"
"1147061100","서울특별시","양천구","신월7동","57","126","126","50","12.35","37","31","8.73"
"1147062000","서울특별시","양천구","신정1동","58","126","126","51","23.03","37","30","56.63"
"1147063000","서울특별시","양천구","신정2동","58","126","126","52","21.71","37","30","59.07"
"1147064000","서울특별시","양천구","신정3동","58","126","126","51","24.79","37","30","44.41"
"1147065000","서울특별시","양천구","신정4동","58","126","126","51","38.88","37","31","14.29"
"1147067000","서울특별시","양천구","신정6동","58","126","126","51","59.35","37","30","51.29"
"1147068000","서울특별시","양천구","신정7동","58","125","126","51","42.32","37","30","41.76"
"1150000000","서울특별시","강서구","","58","126","126","51","6.03","37","32","53.36"
"1150051000","서울특별시","강서구","염창동","58","126","126","52","22.96","37","33","3.76"
"1150052000","서울특별시","강서구","등촌제1동","58","126","126","51","39.59","37","33","11.04"
"1150053000","서울특별시","강서구","등촌제2동","58","126","126","51","52.55","37","32","23.47"
"1150053500","서울특별시","강서구","등촌제3동","58","126","126","51","0.03","37","33","21.94"
"1150054000","서울특별시","강서구","화곡제1동","58","126","126","50","37.47","37","31","39.88"
"1150055000","서울특별시","강서구","화곡제2동","58","126","126","51","24.28","37","31","43.64"
"1150056000","서울특별시","강서구","화곡제3동","57","126","126","50","25.67","37","32","23.79"
"1150057000","서울특별시","강서구","화곡제4동","58","126","126","51","54.84","37","31","48.48"
"1150059000","서울특별시","강서구","화곡본동","58","126","126","50","59.11","37","32","28.48"
"1150059100","서울특별시","강서구","화곡제6동","58","126","126","51","8.08","37","32","56.38"
"1150059300","서울특별시","강서구","화곡제8동","58","126","126","51","1.52","37","31","47.61"
"1150060300","서울특별시","강서구","가양제1동","57","127","126","50","33.59","37","33","59.32"
"1150060400","서울특별시","강서구","가양제2동","58","127","126","51","12.11","37","33","52.58"
"1150060500","서울특별시","강서구","가양제3동","58","127","126","51","45.67","37","33","29.79"
"1150061100","서울특별시","강서구","발산제1동","57","126","126","50","6.88","37","33","0.97"
"1150061500","서울특별시","강서구","우장산동","58","126","0","0","0.0","0","0","0.0"
"1150062000","서울특별시","강서구","공항동","57","126","126","48","43.79","37","33","21.98"
"1150063000","서울특별시","강서구","방화제1동","57","127","126","48","51.52","37","34","7.58"
"1150064000","서울특별시","강서구","방화제2동","57","127","126","48","31.79","37","33","49.95"
"1150064100","서울특별시","강서구","방화제3동","57","127","126","48","57.67","37","34","33.39"
"1153000000","서울특별시","구로구","","58","125","126","53","22.55","37","29","33.54"
"1153051000","서울특별시","구로구","신도림동","58","125","126","52","57.55","37","30","17.92"
"1153052000","서울특별시","구로구","구로제1동","58","125","126","52","40.28","37","29","24.73"
"1153053000","서울특별시","구로구","구로제2동","58","125","126","53","8.4","37","29","18.97"
"1153054000","서울특별시","구로구","구로제3동","58","125","126","53","44.47","37","28","59.0"
"1153055000","서울특별시","구로구","구로제4동","58","125","126","53","28.4","37","29","19.79"
"1153056000","서울특별시","구로구","구로제5동","58","125","126","53","28.96","37","29","50.2"
"1153059500","서울특별시","구로구","가리봉동","58","125","126","53","31.15","37","28","40.73"
"1153072000","서울특별시","구로구","고척제1동","58","125","126","51","53.28","37","29","51.39"
"1153073000","서울특별시","구로구","고척제2동","58","125","126","51","37.55","37","30","13.6"
"1153074000","서울특별시","구로구","개봉제1동","58","125","126","50","57.35","37","29","57.79"
"1153075000","서울특별시","구로구","개봉제2동","58","125","126","51","31.03","37","29","16.89"
"1153076000","서울특별시","구로구","개봉제3동","58","125","126","51","21.2","37","28","59.42"
"1153077000","서울특별시","구로구","오류제1동","58","125","126","50","49.52","37","29","39.29"
"1153078000","서울특별시","구로구","오류제2동","57","125","126","50","29.79","37","29","9.57"
"1153079000","서울특별시","구로구","수궁동","57","125","126","50","0.84","37","29","27.98"
"1153080000","서울특별시","구로구","항동","57","125","126","48","38.5758000000021","37","28","55.826400000002"
"1154500000","서울특별시","금천구","","59","124","126","54","15.11","37","26","56.79"
"1154551000","서울특별시","금천구","가산동","58","125","126","53","37.71","37","28","26.85"
"1154561000","서울특별시","금천구","독산제1동","58","125","126","53","56.76","37","28","2.85"
"1154562000","서울특별시","금천구","독산제2동","59","124","126","54","6.64","37","27","47.86"
"1154563000","서울특별시","금천구","독산제3동","59","125","126","54","35.96","37","28","25.64"
"1154564000","서울특별시","금천구","독산제4동","59","124","126","54","15.2","37","27","52.76"
"1154567000","서울특별시","금천구","시흥제1동","58","124","126","53","57.91","37","27","7.73"
"1154568000","서울특별시","금천구","시흥제2동","59","124","126","55","7.79","37","26","50.25"
"1154569000","서울특별시","금천구","시흥제3동","59","124","126","54","28.71","37","26","15.07"
"1154570000","서울특별시","금천구","시흥제4동","59","124","126","54","29.67","37","27","22.23"
"1154571000","서울특별시","금천구","시흥제5동","59","124","126","54","37.47","37","26","58.51"
"1156000000","서울특별시","영등포구","","58","126","126","53","54.03","37","31","25.0"
"1156051500","서울특별시","영등포구","영등포본동","59","126","0","0","0.0","0","0","0.0"
"1156053500","서울특별시","영등포구","영등포동","59","126","0","0","0.0","0","0","0.0"
"1156054000","서울특별시","영등포구","여의동","59","126","126","56","12.32","37","30","53.6"
"1156055000","서울특별시","영등포구","당산제1동","58","126","126","53","58.28","37","31","19.77"
"1156056000","서울특별시","영등포구","당산제2동","59","126","126","54","15.28","37","31","54.98"
"1156058500","서울특별시","영등포구","도림동","59","125","0","0","0.0","0","0","0.0"
"1156060500","서울특별시","영등포구","문래동","59","126","0","0","0.0","0","0","0.0"
"1156061000","서울특별시","영등포구","양평제1동","58","126","126","53","25.03","37","31","15.05"
"1156062000","서울특별시","영등포구","양평제2동","58","126","126","53","52.88","37","32","6.0"
"1156063000","서울특별시","영등포구","신길제1동","59","125","126","55","24.52","37","30","29.42"
"1156065000","서울특별시","영등포구","신길제3동","59","125","126","54","35.71","37","30","16.64"
"1156066000","서울특별시","영등포구","신길제4동","59","125","126","54","48.15","37","30","20.42"
"1156067000","서울특별시","영등포구","신길제5동","59","125","126","54","26.44","37","29","55.76"
"1156068000","서울특별시","영등포구","신길제6동","59","125","126","54","43.0","37","29","47.63"
"1156069000","서울특별시","영등포구","신길제7동","59","125","126","55","24.52","37","30","13.16"
"1156070000","서울특별시","영등포구","대림제1동","59","125","126","54","28.67","37","29","33.32"
"1156071000","서울특별시","영등포구","대림제2동","58","125","126","54","1.28","37","29","23.73"
"1156072000","서울특별시","영등포구","대림제3동","58","125","126","54","0.76","37","29","43.75"
"1159000000","서울특별시","동작구","","59","125","126","56","29.67","37","30","34.76"
"1159051000","서울특별시","동작구","노량진제1동","59","125","126","56","38.71","37","30","34.13"
"1159052000","서울특별시","동작구","노량진제2동","59","125","126","56","21.79","37","30","20.64"
